Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,GrinVideoEncoder.csproj,File,GrinVideoEncoder.csproj,,,System.Management 9.0.2,,,,,"System.Management, 9.0.2  Recommendation:  Remove System.Management, and replace with new package System.Management 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,GrinVideoEncoder.csproj,File,GrinVideoEncoder.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,27,4,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"string adapterCompatibility = obj[""AdapterCompatibility""]?.ToString() ?? """";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,26,4,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"string name = obj[""Name""]?.ToString() ?? """";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,24,3,T:System.Management.ManagementObjectCollection,,,,,"foreach (var obj in searcher.Get().Cast<ManagementObject>())  			{  				string name = obj[""Name""]?.ToString() ?? """";  				string adapterCompatibility = obj[""AdapterCompatibility""]?.ToString() ?? """";    				// Check by manufacturer  				if (adapterCompatibility.Contains(""NVIDIA"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.Nvidia;    				if (adapterCompatibility.Contains(""Advanced Micro Devices"", StringComparison.OrdinalIgnoreCase) ||  adapterCompatibility.Contains(""AMD"", StringComparison.OrdinalIgnoreCase))  				{  					return GpuVendor.AMD;  				}    				if (adapterCompatibility.Contains(""Intel"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.Intel;    				// Check by device name if manufacturer wasn't clear  				if (name.Contains(""Radeon"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.AMD;    				if (name.Contains(""GeForce"", StringComparison.OrdinalIgnoreCase) ||  					name.Contains(""Quadro"", StringComparison.OrdinalIgnoreCase))  				{  					return GpuVendor.Nvidia;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,24,3,M:System.Management.ManagementObjectSearcher.Get,,,,,"foreach (var obj in searcher.Get().Cast<ManagementObject>())  			{  				string name = obj[""Name""]?.ToString() ?? """";  				string adapterCompatibility = obj[""AdapterCompatibility""]?.ToString() ?? """";    				// Check by manufacturer  				if (adapterCompatibility.Contains(""NVIDIA"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.Nvidia;    				if (adapterCompatibility.Contains(""Advanced Micro Devices"", StringComparison.OrdinalIgnoreCase) ||  adapterCompatibility.Contains(""AMD"", StringComparison.OrdinalIgnoreCase))  				{  					return GpuVendor.AMD;  				}    				if (adapterCompatibility.Contains(""Intel"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.Intel;    				// Check by device name if manufacturer wasn't clear  				if (name.Contains(""Radeon"", StringComparison.OrdinalIgnoreCase))  					return GpuVendor.AMD;    				if (name.Contains(""GeForce"", StringComparison.OrdinalIgnoreCase) ||  					name.Contains(""Quadro"", StringComparison.OrdinalIgnoreCase))  				{  					return GpuVendor.Nvidia;  				}  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,23,3,T:System.Management.ManagementObjectSearcher,,,,,"using ManagementObjectSearcher searcher = new(""SELECT * FROM Win32_VideoController"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Utils\GpuDetector.cs,23,3,M:System.Management.ManagementObjectSearcher.#ctor(System.String),,,,,"using ManagementObjectSearcher searcher = new(""SELECT * FROM Win32_VideoController"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,GrinVideoEncoder.csproj,File,Program.cs,28,1,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,GrinVideoEncoder.csproj,File,Program.cs,15,0,M:Microsoft.Extensions.Configuration.ConfigurationBinder.Get``1(Microsoft.Extensions.Configuration.IConfiguration),,,,,"var appSettings = builder.Configuration.GetSection(""Settings"").Get<AppSettings>() ?? throw new Exception(""Failed to load Application Settings"");"
